title,Service,filter,description,weighted_keywords
List Unlicensed Users in M365,Entra,reporting,Learn how to find unlicensed users in Microsoft 365 using PowerShell and streamline your license management.,unlicensed users:10;users without license:9;no license:7;missing license:6
M365 License Cost & Usage Report,Entra,reporting,"Export Microsoft 365 license cost report with PowerShell. Optimize costs, track usage, and manage licenses effectively.",license cost:10;license usage:8;license spend:8;cost optimization:7;billing:6
M365 Users Last Successful Signin Date Report,Entra,reporting,MS Graph exposes Last Successful Sign-in Date Report for Microsoft 365 Users. Download the PowerShell script to export 10+ last successful sign-in reports.,last successful sign-in:10;last logon date:8;sign-in report:7;inactive users:6
M365 Users' Group-based License Assignment Report,Entra,reporting,"Find all Microsoft 365 users with group-based license assignment, spot disabled users, and identify license errors using PowerShell.",group-based licensing:10;group license assignment:9;inherited license:8;license errors:7
Mail Protection Report,Exchange,reporting,A detailed guide to obtain Microsoft 365 spam and malware reports using PowerShell script to enhance Exchange Online email security.,spam report:10;malware report:9;email security:7;threat report:6;EOP:6;Defender email:6
Mail Traffic Report,Exchange,reporting,This PowerShell script exports a number of emails sent and received by a per-user in your Office 365 org. Download mail traffic report for your tenant now!,mail traffic:10;email volume:8;sent received count:8;mail flow report:7;message trace:6
Mailbox Size Report,Exchange,reporting,This PowerShell script exports mailbox size report and quotas to a CSV file. This report helps to analyse mailbox size usage and mailbox warning size.,mailbox size:10;mailbox storage:8;mailbox usage:7;quota:7
Manage & Report MS Teams Tag Members,MS Teams,management,Download this handy PowerShell script to view and manage Microsoft Teams tag members for your entire organization,Teams tags:10;tag members:9;manage tags:8
Manage M365 Users Deletions,Entra,management,"Simplify Microsoft 365 user deletion management. Delete, restore, or permanently remove users in bulk using an all-in-one PowerShell script.",delete users:10;restore deleted users:9;permanently remove users:8;bulk delete users:7;soft deleted users:6
Manage Microsoft 365 Groups,Entra,management,"The native admin centres do not support bulk management of Microsoft 365 groups. This PowerShell script performs 19 management actions to manage Microsoft 365 groups effectively, including both single and bulk operations.",manage groups:10;bulk group management:9;group actions:7;unified groups:6
Manage Microsoft 365 Licenses using MS Graph,Entra,management,This All-in-One PowerShell script helps admins to manage Microsoft 365 licenses effectively with 11 reporting and license assignment removal actions.,license management:10;assign licenses:9;remove licenses:8;bulk licensing:7
Microsoft 365 Group Report,Entra,reporting,"This Microsoft 365 group report script exports all Microsoft 365 groups such as distribution list, security group, unified groups and their members to CSV.",group report:10;all groups:8;group members:7;security groups:7;distribution lists:7;unified groups:6
Microsoft 365 License Cost Optimization Tool,Entra,management,The native admin center shows who holds licenses but not how to optimize them. This Microsoft 365 license optimization tool includes 16 actions to identify license waste and cut licensing costs through single and bulk actions.,license optimization:10;license waste:9;cut license cost:8;reclaim licenses:7;unused licenses:7
Microsoft Teams Meetings Call Quality Report,MS Teams,reporting,"Export 6 Microsoft Teams meeting call quality reports using PowerShell, which helps you analyze the network, device, and audio health issues.",call quality:10;meeting quality:8;CQD:8;audio video issues:7;network health:6;device health:6
Microsoft Teams Reports,MS Teams,reporting,This PowerShell script can generate 8 different MS Teams reports and export them to CSV file.,Teams reports:10;Teams usage:8;Teams analytics:7;Teams inventory:6
Microsoft Teams-Private Channel Management,MS Teams,management,"Restricting Private Channel creation for set of users is a major task in an organization. Using our script, you can manage Private Channel creation for users.",private channel:10;restrict channel creation:9;private channel policy:8;manage channels:7
Notify Entra App Credential Expiry,Security & Identity,management,This PowerShell script monitors client secrets and certificates of Microsoft Entra ID app registrations and alerts admins before they expire. Scheduling it helps prevent app downtime from expired credentials.,app credential expiry alert:10;client secret expiry:9;certificate expiry notification:9;app registration monitoring:7;prevent app downtime:6
Office 365 Admin Report,Entra,reporting,"This PowerShell script exports Office 365 admin report to CSV. Also, you can generate admin role group members report by using in-built params.",admin report:10;admin roles:9;administrators list:8;role group members:7;privileged users:7
Office 365 Distribution Group Members Report,Exchange,reporting,"This PowerShell script exports Office 365 Distribution Group members to CSV file along with Primary SMTP Address, Alias, Group Owner, Members &amp: Count, etc",distribution group members:10;DL members:9;group members export:8;DL owners:6
Office 365 Dynamic Distribution Group Members Report,Exchange,reporting,This PowerShell script gets Office 365 Dynamic Distribution Group members and exports them to CSV. The script generates both DDL group and members report.,dynamic distribution group:10;dynamic DL:9;DDG members:8
Office 365 Email Forwarding Report,Exchange,reporting,"The email forwarding report lists mailboxes that forwards and redirects email to another mailboxes. It considers SMTP forwarding, inbox rules, transport rule",email forwarding report:10;forwarding mailboxes:9;SMTP forwarding:8;inbox rule forwarding:7;redirect email:6
Office 365 Mailbox Permissions Report,Exchange,reporting,"This PowerShell script exports Office 365 users' mailbox delegate permissions like Full access, Send as Send-on-behalf to CSV file with administrative roles.",mailbox permissions:10;full access:9;send as:8;send on behalf:8;delegate permissions:8
Office 365 Manager Report,Entra,reporting,This PowerShell script exports 10+ Office 365 user manager reports and direct reports to CSV file along with the most required attributes.,manager report:10;direct reports:9;manager attribute:8;org hierarchy:6
Office 365 Non-owner Mailbox Access Report,Exchange,reporting,"Non-Owner mailbox access includes administrators, delegates, and external users. Using this PowerShell script, you can export non-owner mailbox access report.",non-owner mailbox access:10;who accessed mailbox:9;delegate access audit:7
Office 365 Password Expiry Report,Security & Identity,reporting,This PowerShell script exports 7+ Microsoft 365 last password change date &amp; Password expiry reports to CSV.,password expiry:10;last password change:9;expiring passwords:8;password age:7
Office 365 Shared Mailbox Permission Report,Exchange,reporting,"This PowerShell script exports Shared mailbox permission like full access, send as and send on behalf permissions to CSV file.",shared mailbox permissions:10;full access:8;send as:8;send on behalf:7
Office 365 User Last Activity Time Report,Exchange,reporting,The Last Logon Time attribute gives inaccurate data to identify the Office 365 mailbox's inactivity. Users&#039; real last logon time report can be retrieved from,last activity time:10;user activity date:8;real last logon:7;inactive mailbox:6
Office 365 User Last Logon Time Report,Exchange,reporting,"Export Office 365 Last Logon Time report to CSV with UserPrincipalName, DisplayName, LastLogonTime, InactiveDays, MailboxType, Licenses, Admin Roles.",last logon time:10;last sign-in:8;inactive days:7;login date:7
Office 365 User License Report,Entra,reporting,"Using this script administrator can export all Office 365 licensed users with their assigned licenses, services, and service status.",user licenses:10;assigned licenses:9;license SKU:7;service status:6
Office 365 User Logon History Report,Entra,auditing,"This PowerShell script exports a Microsoft 365 users' logon history report, enabling administrators to track users' login activities.",logon history:10;sign-in history:9;login activities:8
Office 365 User MFA Status Report,Security & Identity,reporting,"This PowerShell script exports Office 365 users' MFA status with Default MFA Method, AllMFAMethods, MFAPhone, MFAEmail, LicenseStatus, IsAdmin, SignInStatus.",MFA status:10;MFA methods:8;2FA report:7;MFA phone:6;sign-in status:5
Office365 License Reporting And Management,Entra,management,"This All-in-One PowerShell script can perform more than 10 Office 365 license reporting and management activities, including bulk assign or remove licenses.",license management:10;license reporting:9;bulk assign licenses:8;remove licenses:7
OneDrive Usage Report,SharePoint & OneDrive,reporting,Learn how to export OneDrive usage report in Microsoft 365 to manage storage and improve efficiency in the organization.,OneDrive usage:10;OneDrive storage:9;OneDrive report:8
Plus Addressing Configuration,Exchange,reporting,"In Exchange Online, Plus Addressing is not enabled by default. You can enable it using PowerShell. Plus Addressing helps to create dynamic custom email address.",plus addressing:10;enable plus addressing:8;subaddressing:8;dynamic email alias:7
Prevent Bing Install in Chrome,Security & Identity,management,This PowerShell script blocks the automatic installation of the Microsoft Search in Bing extension for Google Chrome across Microsoft 365. It helps admins avoid the unwanted default-search change on managed devices.,block Bing extension:10;prevent Bing install:9;Microsoft Search in Bing:9;Chrome extension:7;managed devices:5
Private Channel Reports in MS Teams,MS Teams,reporting,"Export Microsoft Teams Private Channel membership report for monitoring team collaboration, ensuring compliance, and enhancing overall security.",private channel report:10;private channel members:9;channel membership:7
Remove Email Forwarding,Exchange,management,This script helps to remove email forwarding configurations & disables inbox rules with forwarding for specific users & bulk users through CSV.,remove forwarding:10;disable email forwarding:9;stop auto forward:8;forwarding inbox rules:7
Remove Sharing Links in SharePoint Online,SharePoint & OneDrive,management,"Automate removing SharePoint sharing links based on real-world needs like anonymous, expired or people-specific links.",remove sharing links:10;revoke sharing links:9;delete anonymous links:8;expired links cleanup:7
Reset MFA Methods For M365 Users,Security & Identity,management,"This PowerShell script helps to reset MFA methods for M365 users, and it covers 25+ real time scenarios. For example,",reset MFA:10;re-register MFA:9;clear MFA methods:8;MFA reset scenarios:6
Reset Phone Authentication for M365 Users,Security & Identity,management,Download this PowerShell script to remove phone-based MFA for users in Microsoft 365.,reset phone authentication:10;remove phone MFA:9;MFA phone reset:8;SMS authentication:7
Room Mailbox report,Exchange,reporting,Utilize pre-built PowerShell script to effortlessly export M365 room mailbox reports for detailed analysis and streamlined management of meeting rooms.,room mailbox:10;meeting rooms:8;resource mailbox:7;room inventory:7
Room Mailbox Usage report,Exchange,reporting,Obtain Office 365 room mailbox usage statistics using PowerShell scripting and get valuable insights into meeting statistics and booking trends.,room usage:10;meeting room booking:9;room utilization:8;booking trends:7;meeting statistics:6
Save Sent Items in Shared Mailbox,Exchange,management,Microsoft 365 doesn't save sent emails in the shared mailbox by default. Admins need to enable settings to save sent items in shared mailbox.,save sent items:10;shared mailbox sent items:9;sent folder copy:7;message copy:6
Send Password Expiry Notifications to M365 Users,Security & Identity,management,Learn how to send password expiry notifications via email in Microsoft 365 using a PowerShell script to ensure timely updates and prevent lockouts.,password expiry notification:10;password reminder email:9;expiring password alert:8;prevent lockout:6
Set Azure AD User Manager using MS Graph,Entra,management,Set up manager for Office 365 users by Set-AzureADUserManager. This PowerShell script sets up for multiple users based on 10+user properties.,set manager:10;assign manager:9;manager attribute:8;bulk update manager:7;org hierarchy:5
Setup recurring OOF,Exchange,management,Set up recurring Out of Office automatic replies in Outlook for Microsoft 365 users using scheduling tools like Windows Task Scheduler or Azure Automation.,recurring out of office:10;recurring auto reply:9;OOF:8;automatic replies:8;scheduled auto reply:8
Shared Mailbox report,Exchange,reporting,"This PowerShell script helps admins to get a list of shared mailbox in Office 365 and their details like archive status, license, forwarding config, etc.",shared mailbox list:10;shared mailbox report:10;shared mailbox inventory:8;archive status:6;forwarding config:6
Shared Mailbox Size Report,Exchange,reporting,Discover how to efficiently get shared mailbox size with our PowerShell script in Microsoft 365. Export detailed report and optimize storage.,shared mailbox size:10;shared mailbox storage:8;quota:6
SharePoint Online External User File Access Report,SharePoint & OneDrive,reporting,This PowerShell script exports Office 365 external users' file access report to CSV. This helps to find who accessed the file and when in SharePoint Online.,external user file access:10;guest file access:9;who accessed file:8;external access report:7
SPO Document Library Report,SharePoint & OneDrive,reporting,"Get quick report with a list of all document library in SharePoint Online, including size, files & folder count, etc., to optimize storage.",document library report:10;SharePoint libraries:8;library size:8;file folder count:7
Teams Meeting Device Usage Report,MS Teams,reporting,Audit meetings device usage in Microsoft Teams using PowerShell script to enforce security compliance and verify that only approved devices access your organization data.,meeting device usage:10;Teams devices:8;endpoint usage:7;device compliance:6;approved devices:6
Teams Usage Summary Report,MS Teams,reporting,Export Microsoft Teams usage report with PowerShell script and quickly find inactive teams at scale.,Teams usage report:10;Teams activity:8;inactive teams:7;team adoption:6
Trace Emails Received From External Domains,Exchange,auditing,Export emails received from external domains in Exchange Online using this PowerShell script to detect suspicious emails and enhance email security.,inbound external emails:10;emails from external domains:9;message trace inbound:8;suspicious emails:6
Trace Emails Sent to External Domains,Exchange,auditing,Easily trace and export outbound emails to external domains in Microsoft 365 to enhance security and compliance.,outbound external emails:10;emails to external domains:9;message trace outbound:8;data exfiltration:6
Track offboarded user activities,Entra,auditing,Learn a simple and convenient way to keep track of Microsoft 365 offboarded user activities. Avoid being a victim of data breaches!,offboarded user activity:10;terminated user audit:9;leaver activity:8;post-offboarding:7;data breach prevention:5
